"Time Interval","Reserve Type","Type of Product","Source","Up price","Down Price","Currency","Price type"
"29.07.2023 17:00 - 29.07.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"28.72","18","EUR","MARGINAL"
"29.07.2023 18:00 - 29.07.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"28.96","23","EUR","MARGINAL"
"29.07.2023 19:00 - 29.07.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30","29.14","EUR","MARGINAL"
"29.07.2023 20:00 - 29.07.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30","27.84","EUR","MARGINAL"
"29.07.2023 21:00 - 29.07.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30","26.94","EUR","MARGINAL"
"29.07.2023 22:00 - 29.07.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30","26.01","EUR","MARGINAL"
"29.07.2023 23:00 - 30.07.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29","24.45","EUR","MARGINAL"
"30.07.2023 00:00 - 30.07.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.98","24.98","EUR","MARGINAL"
"30.07.2023 01:00 - 30.07.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.66","24.66","EUR","MARGINAL"
"30.07.2023 02:00 - 30.07.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.45","24.45","EUR","MARGINAL"
"30.07.2023 03:00 - 30.07.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.91","24.91","EUR","MARGINAL"
"30.07.2023 04:00 - 30.07.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.87","24.87","EUR","MARGINAL"
"30.07.2023 05:00 - 30.07.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.48","24.48","EUR","MARGINAL"
"30.07.2023 06:00 - 30.07.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25.96","21","EUR","MARGINAL"
"30.07.2023 07:00 - 30.07.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"26.69","21","EUR","MARGINAL"
"30.07.2023 08:00 - 30.07.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"27.24","22.5","EUR","MARGINAL"
"30.07.2023 09:00 - 30.07.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"10.61","10.61","EUR","MARGINAL"
"30.07.2023 10:00 - 30.07.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"0.06","0","EUR","MARGINAL"
"30.07.2023 11:00 - 30.07.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"-0.15","-1","EUR","MARGINAL"
"30.07.2023 12:00 - 30.07.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"-0.75","-1.25","EUR","MARGINAL"
"30.07.2023 13:00 - 30.07.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"0","0","EUR","MARGINAL"
"30.07.2023 14:00 - 30.07.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"0.01","0","EUR","MARGINAL"
"30.07.2023 15:00 - 30.07.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"0.05","0.05","EUR","MARGINAL"
"30.07.2023 16:00 - 30.07.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"2.62","2.62","EUR","MARGINAL"
"30.07.2023 17:00 - 30.07.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"16.32","16.32","EUR","MARGINAL"
"30.07.2023 18:00 - 30.07.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.5","27.36","EUR","MARGINAL"
"30.07.2023 19:00 - 30.07.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.64","32.64","EUR","MARGINAL"
"30.07.2023 20:00 - 30.07.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"35","32.52","EUR","MARGINAL"
"30.07.2023 21:00 - 30.07.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.86","32.34","EUR","MARGINAL"
"30.07.2023 22:00 - 30.07.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"31.27","31.27","EUR","MARGINAL"
"30.07.2023 23:00 - 31.07.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29","29","EUR","MARGINAL"
"31.07.2023 00:00 - 31.07.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30","30","EUR","MARGINAL"
"31.07.2023 01:00 - 31.07.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.62","20","EUR","MARGINAL"
"31.07.2023 02:00 - 31.07.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.5","20","EUR","MARGINAL"
"31.07.2023 03:00 - 31.07.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.37","20","EUR","MARGINAL"
"31.07.2023 04:00 - 31.07.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"28.21","20","EUR","MARGINAL"
"31.07.2023 05:00 - 31.07.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"31.59","26.75","EUR","MARGINAL"
"31.07.2023 06:00 - 31.07.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.46","32.46","EUR","MARGINAL"
"31.07.2023 07:00 - 31.07.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.72","32.72","EUR","MARGINAL"
"31.07.2023 08:00 - 31.07.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"34.2","34.2","EUR","MARGINAL"
"31.07.2023 09:00 - 31.07.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"35.46","35.46","EUR","MARGINAL"
"31.07.2023 10:00 - 31.07.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"35.51","35.51","EUR","MARGINAL"
"31.07.2023 11:00 - 31.07.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"35.53","35.53","EUR","MARGINAL"
"31.07.2023 12:00 - 31.07.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"35.2","35.2","EUR","MARGINAL"
"31.07.2023 13:00 - 31.07.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"34.87","34.87","EUR","MARGINAL"
"31.07.2023 14:00 - 31.07.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.74","32.74","EUR","MARGINAL"
"31.07.2023 15:00 - 31.07.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"34.5","34.5","EUR","MARGINAL"
"31.07.2023 17:00 - 31.07.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"34.92","34.92","EUR","MARGINAL"
"31.07.2023 18:00 - 31.07.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"40","35.03","EUR","MARGINAL"
"31.07.2023 19:00 - 31.07.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"40","35.01","EUR","MARGINAL"
"31.07.2023 20:00 - 31.07.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"34.69","34.69","EUR","MARGINAL"
"31.07.2023 21:00 - 31.07.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.9","32.9","EUR","MARGINAL"
"31.07.2023 22:00 - 31.07.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30.79","30.79","EUR","MARGINAL"
"31.07.2023 23:00 - 01.08.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"28.14","28.14","EUR","MARGINAL"
"01.08.2023 00:00 - 01.08.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"26.52","19","EUR","MARGINAL"
"01.08.2023 01:00 - 01.08.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25.8","13.5","EUR","MARGINAL"
"01.08.2023 02:00 - 01.08.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25.47","13.42","EUR","MARGINAL"
"01.08.2023 03:00 - 01.08.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25.28","13.42","EUR","MARGINAL"
"01.08.2023 04:00 - 01.08.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25.17","25.17","EUR","MARGINAL"
"01.08.2023 05:00 - 01.08.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25.43","25.43","EUR","MARGINAL"
"01.08.2023 06:00 - 01.08.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"28.57","28.57","EUR","MARGINAL"
"01.08.2023 07:00 - 01.08.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"35.92","32.38","EUR","MARGINAL"
"01.08.2023 08:00 - 01.08.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"37.38","33.99","EUR","MARGINAL"
"01.08.2023 09:00 - 01.08.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"37.71","34.52","EUR","MARGINAL"
"01.08.2023 10:00 - 01.08.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"37.16","33.97","EUR","MARGINAL"
"01.08.2023 11:00 - 01.08.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"36.83","33.64","EUR","MARGINAL"
"01.08.2023 12:00 - 01.08.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"36.72","33.39","EUR","MARGINAL"
"01.08.2023 13:00 - 01.08.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"35.73","22.5","EUR","MARGINAL"
"01.08.2023 14:00 - 01.08.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.92","10","EUR","MARGINAL"
"01.08.2023 15:00 - 01.08.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.11","5","EUR","MARGINAL"
"01.08.2023 16:00 - 01.08.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.17","10.5","EUR","MARGINAL"
"01.08.2023 17:00 - 01.08.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.97","32.97","EUR","MARGINAL"
"01.08.2023 18:00 - 01.08.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"38","34.74","EUR","MARGINAL"
"01.08.2023 19:00 - 01.08.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"38","34.24","EUR","MARGINAL"
"01.08.2023 20:00 - 01.08.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"36","32.32","EUR","MARGINAL"
"01.08.2023 21:00 - 01.08.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.61","32.61","EUR","MARGINAL"
"01.08.2023 22:00 - 01.08.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.93","29.93","EUR","MARGINAL"
"01.08.2023 23:00 - 02.08.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"28.31","28.31","EUR","MARGINAL"
"02.08.2023 00:00 - 02.08.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30.8","30.8","EUR","MARGINAL"
"02.08.2023 01:00 - 02.08.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.91","29.91","EUR","MARGINAL"
"02.08.2023 02:00 - 02.08.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.69","29.69","EUR","MARGINAL"
"02.08.2023 03:00 - 02.08.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.58","29.58","EUR","MARGINAL"
"02.08.2023 04:00 - 02.08.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.5","29.5","EUR","MARGINAL"
"02.08.2023 05:00 - 02.08.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.92","29.92","EUR","MARGINAL"
"02.08.2023 06:00 - 02.08.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30.79","30.79","EUR","MARGINAL"
"02.08.2023 07:00 - 02.08.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.85","29.85","EUR","MARGINAL"
"02.08.2023 08:00 - 02.08.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"33","29.68","EUR","MARGINAL"
"02.08.2023 09:00 - 02.08.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"33","29.83","EUR","MARGINAL"
"02.08.2023 10:00 - 02.08.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32.88","29.93","EUR","MARGINAL"
"02.08.2023 11:00 - 02.08.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"31","30.07","EUR","MARGINAL"
"02.08.2023 12:00 - 02.08.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"31","30.56","EUR","MARGINAL"
"02.08.2023 13:00 - 02.08.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"38","30.79","EUR","MARGINAL"
"02.08.2023 14:00 - 02.08.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25.67","25.67","EUR","MARGINAL"
"02.08.2023 15:00 - 02.08.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"21.92","21.92","EUR","MARGINAL"
"02.08.2023 16:00 - 02.08.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"28.47","28.47","EUR","MARGINAL"
"02.08.2023 17:00 - 02.08.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32","29.74","EUR","MARGINAL"
"02.08.2023 18:00 - 02.08.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32","29.63","EUR","MARGINAL"
"02.08.2023 19:00 - 02.08.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32","29.5","EUR","MARGINAL"
"02.08.2023 20:00 - 02.08.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32","29.38","EUR","MARGINAL"
"02.08.2023 21:00 - 02.08.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.47","29.47","EUR","MARGINAL"
"02.08.2023 22:00 - 02.08.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.63","29.63","EUR","MARGINAL"
"02.08.2023 23:00 - 03.08.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"35","29.29","EUR","MARGINAL"
"03.08.2023 00:00 - 03.08.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"36","24.16","EUR","MARGINAL"
"03.08.2023 01:00 - 03.08.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29","9.81","EUR","MARGINAL"
"03.08.2023 02:00 - 03.08.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29","3.55","EUR","MARGINAL"
"03.08.2023 03:00 - 03.08.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24","5.79","EUR","MARGINAL"
"03.08.2023 04:00 - 03.08.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24","7.43","EUR","MARGINAL"
"03.08.2023 05:00 - 03.08.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"27","24.39","EUR","MARGINAL"
"03.08.2023 06:00 - 03.08.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30","26.99","EUR","MARGINAL"
"03.08.2023 07:00 - 03.08.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30","22.98","EUR","MARGINAL"
"03.08.2023 08:00 - 03.08.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30","26.22","EUR","MARGINAL"
"03.08.2023 09:00 - 03.08.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30","27.45","EUR","MARGINAL"
"03.08.2023 10:00 - 03.08.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.04","29.04","EUR","MARGINAL"
"03.08.2023 11:00 - 03.08.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30.16","30.16","EUR","MARGINAL"
"03.08.2023 12:00 - 03.08.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"26.49","26.49","EUR","MARGINAL"
"03.08.2023 13:00 - 03.08.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29","21.77","EUR","MARGINAL"
"03.08.2023 14:00 - 03.08.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"32","17.98","EUR","MARGINAL"
"03.08.2023 15:00 - 03.08.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"31","18.26","EUR","MARGINAL"
"03.08.2023 16:00 - 03.08.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25.94","25.94","EUR","MARGINAL"
"03.08.2023 17:00 - 03.08.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"31.05","31.05","EUR","MARGINAL"
"03.08.2023 18:00 - 03.08.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30.09","20","EUR","MARGINAL"
"03.08.2023 19:00 - 03.08.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.62","18","EUR","MARGINAL"
"03.08.2023 20:00 - 03.08.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"30.09","18","EUR","MARGINAL"
"03.08.2023 21:00 - 03.08.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29.1","20","EUR","MARGINAL"
"03.08.2023 22:00 - 03.08.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"27.61","20","EUR","MARGINAL"
"03.08.2023 23:00 - 04.08.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"26.17","20","EUR","MARGINAL"
"04.08.2023 00:00 - 04.08.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"22.2","22.2","EUR","MARGINAL"
"04.08.2023 01:00 - 04.08.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"21.44","14","EUR","MARGINAL"
"04.08.2023 02:00 - 04.08.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"20.33","11.5","EUR","MARGINAL"
"04.08.2023 03:00 - 04.08.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"20.03","10","EUR","MARGINAL"
"04.08.2023 04:00 - 04.08.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"19.21","10","EUR","MARGINAL"
"04.08.2023 05:00 - 04.08.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"15.99","10","EUR","MARGINAL"
"04.08.2023 06:00 - 04.08.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"19.2","14","EUR","MARGINAL"
"04.08.2023 07:00 - 04.08.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"26","20.93","EUR","MARGINAL"
"04.08.2023 08:00 - 04.08.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"29","23.54","EUR","MARGINAL"
"04.08.2023 09:00 - 04.08.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.8","24.8","EUR","MARGINAL"
"04.08.2023 10:00 - 04.08.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25.2","25.2","EUR","MARGINAL"
"04.08.2023 11:00 - 04.08.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.79","24.79","EUR","MARGINAL"
"04.08.2023 12:00 - 04.08.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.35","24.35","EUR","MARGINAL"
"04.08.2023 13:00 - 04.08.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"27","22.93","EUR","MARGINAL"
"04.08.2023 14:00 - 04.08.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"27","20.53","EUR","MARGINAL"
"04.08.2023 15:00 - 04.08.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.7","20.18","EUR","MARGINAL"
"04.08.2023 16:00 - 04.08.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"20.27","20.27","EUR","MARGINAL"
"04.08.2023 17:00 - 04.08.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"23.5","18","EUR","MARGINAL"
"04.08.2023 18:00 - 04.08.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.84","18","EUR","MARGINAL"
"04.08.2023 19:00 - 04.08.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"24.53","18","EUR","MARGINAL"
"04.08.2023 20:00 - 04.08.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"23.28","23.28","EUR","MARGINAL"
"04.08.2023 21:00 - 04.08.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"20.92","20.92","EUR","MARGINAL"
"04.08.2023 22:00 - 04.08.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"18.1","18.1","EUR","MARGINAL"
"04.08.2023 23:00 - 05.08.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"17.02","16","EUR","MARGINAL"
"05.08.2023 00:00 - 05.08.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"23.37","23.37","EUR","MARGINAL"
"05.08.2023 01:00 - 05.08.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"19.83","10","EUR","MARGINAL"
"05.08.2023 02:00 - 05.08.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"18.46","10","EUR","MARGINAL"
"05.08.2023 03:00 - 05.08.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"17.36","17.36","EUR","MARGINAL"
"05.08.2023 04:00 - 05.08.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"16.93","7","EUR","MARGINAL"
"05.08.2023 05:00 - 05.08.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"16.73","0","EUR","MARGINAL"
"05.08.2023 06:00 - 05.08.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"17.07","0","EUR","MARGINAL"
"05.08.2023 07:00 - 05.08.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"15.14","10","EUR","MARGINAL"
"05.08.2023 08:00 - 05.08.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"16.13","16.13","EUR","MARGINAL"
"05.08.2023 09:00 - 05.08.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"17.25","17.25","EUR","MARGINAL"
"05.08.2023 10:00 - 05.08.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"17.24","17.24","EUR","MARGINAL"
"05.08.2023 11:00 - 05.08.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"17.29","17.29","EUR","MARGINAL"
"05.08.2023 12:00 - 05.08.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"18.04","18.04","EUR","MARGINAL"
"05.08.2023 13:00 - 05.08.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"17.82","17.82","EUR","MARGINAL"
"05.08.2023 14:00 - 05.08.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"18.2","18.2","EUR","MARGINAL"
"05.08.2023 15:00 - 05.08.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"17.54","17.54","EUR","MARGINAL"
"05.08.2023 16:00 - 05.08.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"17.71","17.71","EUR","MARGINAL"
"05.08.2023 17:00 - 05.08.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"18.05","18.05","EUR","MARGINAL"
"05.08.2023 18:00 - 05.08.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"18.45","18.45","EUR","MARGINAL"
"05.08.2023 19:00 - 05.08.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"26","18.68","EUR","MARGINAL"
"05.08.2023 20:00 - 05.08.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"26","18.15","EUR","MARGINAL"
"05.08.2023 21:00 - 05.08.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"26","18.03","EUR","MARGINAL"
"05.08.2023 22:00 - 05.08.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25","17.73","EUR","MARGINAL"
"05.08.2023 23:00 - 06.08.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25","17.14","EUR","MARGINAL"
"06.08.2023 00:00 - 06.08.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"25","19.01","EUR","MARGINAL"
"06.08.2023 01:00 - 06.08.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"21.5","17.29","EUR","MARGINAL"
"06.08.2023 02:00 - 06.08.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"26","15.98","EUR","MARGINAL"
"06.08.2023 03:00 - 06.08.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"27.5","15.73","EUR","MARGINAL"
"06.08.2023 04:00 - 06.08.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"27.5","15.31","EUR","MARGINAL"
"06.08.2023 05:00 - 06.08.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"20","15.43","EUR","MARGINAL"
"06.08.2023 06:00 - 06.08.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"14.91","14.91","EUR","MARGINAL"
"06.08.2023 07:00 - 06.08.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"14.34","10","EUR","MARGINAL"
"06.08.2023 08:00 - 06.08.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"15.99","10","EUR","MARGINAL"
"06.08.2023 09:00 - 06.08.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"16.3","10","EUR","MARGINAL"
"06.08.2023 10:00 - 06.08.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"20.93","18.23","EUR","MARGINAL"
"06.08.2023 11:00 - 06.08.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"20.63","19.62","EUR","MARGINAL"
"06.08.2023 12:00 - 06.08.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"20.48","20.42","EUR","MARGINAL"
"06.08.2023 13:00 - 06.08.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"19.5","12.46","EUR","MARGINAL"
"06.08.2023 14:00 - 06.08.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"11.96","9","EUR","MARGINAL"
"06.08.2023 15:00 - 06.08.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"9.09","0.89","EUR","MARGINAL"
"06.08.2023 16:00 - 06.08.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"14.3","6","EUR","MARGINAL"
"06.08.2023 17:00 - 06.08.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"22.11","13.42","EUR","MARGINAL"
"06.08.2023 18:00 - 06.08.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"21.08","21.08","EUR","MARGINAL"
"06.08.2023 19:00 - 06.08.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"21.92","21.92","EUR","MARGINAL"
"06.08.2023 20:00 - 06.08.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"22.02","22.02","EUR","MARGINAL"
"06.08.2023 21:00 - 06.08.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"21.86","21.86","EUR","MARGINAL"
"06.08.2023 22:00 - 06.08.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"21.07","21.07","EUR","MARGINAL"
"06.08.2023 23:00 - 07.08.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"20","20","EUR","MARGINAL"
"07.08.2023 00:00 - 07.08.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"21.78","21.78","EUR","MARGINAL"
